,Maharashtra
2019-01-02,428.6
2019-01-03,419.6
2019-01-04,395.8
2019-01-05,411.1
2019-01-06,408.6
2019-01-07,408.1
2019-01-08,398.2
2019-01-09,400.9
2019-01-10,409.7
2019-01-11,405.2
2019-01-12,421.8
2019-01-13,408.3
2019-01-14,406.3
2019-01-15,392.1
2019-01-16,377.1
2019-01-17,368.4
2019-01-18,360.8
2019-01-19,371.2
2019-01-20,362.4
2019-01-21,356.6
2019-01-22,330.8
2019-01-23,499.4
2019-01-24,508.9
2019-01-25,456.0
2019-01-26,485.9
2019-01-27,485.2
2019-01-28,485.1
2019-01-29,475.9
2019-01-30,348.4
2019-01-31,345.2
2019-02-01,345.2
2019-02-02,344.3
2019-02-03,353.3
2019-02-04,369.8
2019-02-05,376.0
2019-02-06,378.0
2019-02-07,305.6
2019-02-08,320.1
2019-02-09,350.4
2019-02-10,360.6
2019-02-11,362.2
2019-02-12,360.6
2019-02-13,357.5
2019-02-14,394.1
2019-02-15,399.5
2019-02-16,405.3
2019-02-17,403.4
2019-02-18,399.3
2019-02-19,403.5
2019-02-20,392.4
2019-02-21,509.5
2019-02-22,516.4
2019-02-23,515.8
2019-02-24,509.6
2019-02-25,505.9
2019-02-26,500.6
2019-02-27,489.6
2019-02-28,454.7
2019-03-01,454.7
2019-03-02,467.0
2019-03-03,461.9
2019-03-04,454.7
2019-03-05,448.3
2019-03-06,443.4
2019-03-07,435.6
2019-03-08,423.5
2019-03-09,429.0
2019-03-10,439.3
2019-03-11,449.4
2019-03-12,431.4
2019-03-13,402.8
2019-03-14,374.7
2019-03-15,404.6
2019-03-16,405.7
2019-03-17,408.1
2019-03-18,408.8
2019-03-19,405.1
2019-03-20,400.2
2019-03-21,409.9
2019-03-22,438.0
2019-03-23,442.3
2019-03-24,441.0
2019-03-25,443.7
2019-03-26,443.7
2019-03-27,445.0
2019-03-28,424.4
2019-03-29,471.3
2019-03-30,484.0
2019-03-31,489.6
2019-04-01,489.6
2019-04-02,487.7
2019-04-03,483.3
2019-04-04,484.0
2019-04-05,462.0
2019-04-06,439.4
2019-04-07,433.9
2019-04-08,432.9
2019-04-09,432.9
2019-04-10,420.9
2019-04-11,431.1
2019-04-12,419.7
2019-04-13,436.2
2019-04-14,451.0
2019-04-15,458.8
2019-04-16,448.7
2019-04-17,407.6
2019-04-18,388.5
2019-04-19,371.1
2019-04-20,495.9
2019-04-21,494.2
2019-04-22,491.4
2019-04-23,493.4
2019-04-24,492.9
2019-04-25,484.8
2019-04-26,456.8
2019-04-27,447.6
2019-04-28,456.7
2019-04-29,447.8
2019-04-30,427.8
2019-05-01,427.8
2019-05-02,428.5
2019-05-03,425.5
2019-05-04,415.3
2019-05-05,409.6
2019-05-06,403.0
2019-05-07,391.5
2019-05-08,385.4
2019-05-09,379.7
2019-05-10,385.6
2019-05-11,380.7
2019-05-12,441.2
2019-05-13,451.4
2019-05-14,446.0
2019-05-15,423.8
2019-05-16,400.5
2019-05-17,374.0
2019-05-18,364.8
2019-05-19,495.0
2019-05-20,494.5
2019-05-21,500.6
2019-05-22,513.1
2019-05-23,511.8
2019-05-24,513.3
2019-05-25,504.1
2019-05-26,395.6
2019-05-27,403.6
2019-05-28,394.4
2019-05-29,357.9
2019-05-30,328.0
2019-05-31,348.2
2019-06-01,348.2
2019-06-02,351.0
2019-06-03,357.7
2019-06-04,383.7
2019-06-05,387.9
2019-06-06,383.7
2019-06-07,363.2
2019-06-08,347.4
2019-06-09,313.9
2019-06-10,412.4
2019-06-11,417.1
2019-06-12,417.4
2019-06-13,413.3
2019-06-14,397.6
2019-06-15,351.6
2019-06-16,361.6
2019-06-17,507.0
2019-06-18,513.6
2019-06-19,513.9
2019-06-20,522.1
2019-06-21,505.3
2019-06-22,503.3
2019-06-23,487.5
2019-06-24,445.9
2019-06-25,457.6
2019-06-26,460.2
2019-06-27,464.3
2019-06-28,466.0
2019-06-29,464.7
2019-06-30,424.1
2019-07-01,424.5
2019-07-02,433.7
2019-07-03,431.6
2019-07-04,426.7
2019-07-05,426.8
2019-07-06,424.0
2019-07-07,414.1
2019-07-08,380.5
2019-07-08,388.6
2019-07-09,399.1
2019-07-09,405.7
2019-07-10,410.2
2019-07-10,412.7
2019-07-11,404.4
2019-07-11,421.9
2019-07-12,429.8
2019-07-12,431.3
2019-07-13,433.4
2019-07-14,429.8
2019-07-15,431.0
2019-07-16,417.1
2019-07-17,457.5
2019-07-18,466.3
2019-07-19,462.2
2019-07-20,406.8
2019-07-21,439.2
2019-07-22,460.8
2019-07-23,452.0
2019-07-24,419.4
2019-07-25,425.1
2019-07-26,436.2
2019-07-27,442.4
2019-07-28,443.5
2019-07-29,441.3
2019-07-30,424.4
2019-07-31,473.9
2019-08-01,476.8
2019-08-02,473.8
2019-08-03,479.4
2019-08-04,474.3
2019-08-05,463.8
2019-08-06,429.1
2019-08-07,429.1
2019-08-08,404.9
2019-08-09,418.3
2019-08-10,420.9
2019-08-11,426.2
2019-08-12,434.5
2019-08-13,442.1
2019-08-14,443.5
2019-08-15,484.7
2019-08-16,493.9
2019-08-17,497.9
2019-08-18,499.8
2019-08-19,491.7
2019-08-20,489.1
2019-08-21,477.6
2019-08-22,434.9
2019-08-23,445.4
2019-08-24,444.6
2019-08-25,444.1
2019-08-26,443.7
2019-08-27,443.6
